AssetID,AssetType,InstallDate,AgeYears,ConditionScore,LastMaintenanceDate,Region,Latitude,Longitude,InspectionDate,Commodity,System,DiameterInches,Material,CoatingType,SeamType,MAOP_psig,HCA_Flag,ClassLocation,SoilCorrosivityIndex,CPZoneID,CPStatus,LastCPSurveyDate,PipeToSoilPotential_mV,LastILI_Date,ILI_Anomalies_Count,LeakHistoryCount,CorrosionRiskScore,CorrosionRiskScore_Rubric
A100172,Regulator,1979-10-11,45,3,1992-04-06,South Bay,37.15758,-122.10071,2024-03-18,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100173,Feeder,1977-05-24,48,3,2002-05-24,San Francisco,37.72856,-122.37724,2015-05-11,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100174,Transformer,2021-10-26,3,1,2022-02-27,San Francisco,37.71124,-122.43738,2022-05-18,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100175,Pole,1981-08-23,43,4,2016-09-27,Sierra,38.98767,-121.08456,2020-02-08,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100176,Substation Equipment,1991-07-27,34,4,1997-10-17,East Bay,37.86468,-121.61796,2025-02-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100177,Pole,1975-12-10,49,2,1997-05-25,East Bay,37.92067,-122.19486,2014-07-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100178,Substation Equipment,1995-08-12,30,5,1999-06-06,San Francisco,37.74151,-122.37132,2019-05-30,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100179,Pole,2000-03-08,25,4,2003-05-12,Peninsula,37.38268,-122.15515,2011-05-31,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100180,Transformer,2005-09-18,19,3,2009-08-04,Central Valley,36.7622,-121.19229,2021-06-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100181,Transformer,1979-05-20,46,1,1998-05-06,East Bay,37.89378,-121.67662,2001-12-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100182,Switchgear,2006-12-15,18,2,2012-06-24,North Bay,38.33082,-122.55774,2016-08-14,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100183,Switchgear,2004-10-22,20,2,2021-11-09,South Bay,37.27731,-121.96883,2024-04-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100184,Substation Equipment,2017-02-25,8,3,2020-09-20,Peninsula,37.55024,-122.45762,2023-10-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100185,Feeder,1992-06-09,33,3,2001-08-24,San Francisco,37.70619,-122.42171,2011-09-16,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100186,Pole,1986-04-08,39,2,1999-02-28,East Bay,37.70931,-121.81606,2005-08-08,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100187,Pole,1995-02-13,30,3,2006-06-04,Peninsula,37.47846,-122.42905,2023-10-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100188,Feeder,1989-11-26,35,1,2019-06-26,Peninsula,37.69342,-122.30618,2021-08-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100189,Transformer,1981-01-16,44,2,2019-01-08,East Bay,37.85089,-122.15184,2021-01-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100190,Gas Valve,1977-05-08,48,1,1982-02-22,East Bay,37.59693,-121.96213,1988-08-18,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100191,Feeder,2012-04-03,13,3,2024-01-10,South Bay,37.00575,-122.24774,2024-04-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100192,Pole,2003-10-09,21,1,2006-06-01,Sierra,39.06656,-120.97357,2013-04-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100193,Feeder,2020-10-12,4,2,2021-04-06,Central Valley,36.62174,-120.7143,2022-12-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100194,Gas Valve,1984-01-07,41,3,1986-01-02,San Francisco,37.7961,-122.44251,2021-02-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100195,Regulator,2016-04-27,9,1,2020-04-06,Peninsula,37.50962,-122.22296,2023-06-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100196,Regulator,1998-03-20,27,3,2001-12-25,East Bay,37.83133,-121.66407,2005-05-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100197,Transformer,2006-09-16,18,1,2016-02-19,South Bay,37.14342,-122.26108,2019-01-02,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100198,Substation Equipment,2000-11-18,24,2,2005-03-30,North Bay,38.10844,-122.88848,2018-09-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100199,Pole,2000-12-09,24,4,2013-12-02,Central Valley,36.53737,-121.47617,2015-11-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100200,Gas Valve,2001-01-10,24,5,2017-04-28,Central Valley,36.96494,-121.13568,2022-03-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100201,Switchgear,1976-06-21,49,2,2011-10-19,East Bay,37.81495,-122.19616,2014-11-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100202,Switchgear,1988-01-14,37,2,2007-04-26,Central Valley,37.99957,-120.81508,2009-06-18,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100203,Substation Equipment,1980-07-19,45,3,2001-06-30,North Bay,38.15348,-122.4341,2023-12-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100204,Pole,1983-01-02,42,5,1989-09-01,Sierra,39.57539,-120.42875,1997-09-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100205,Substation Equipment,2000-02-19,25,5,2017-01-15,Central Valley,37.75819,-120.59412,2025-05-08,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100206,Feeder,1985-03-12,40,3,1992-09-22,Central Valley,36.63604,-120.65697,2015-07-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100207,Pole,1979-02-13,46,4,1997-02-04,Peninsula,37.60191,-122.49859,2007-04-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100208,Pole,1977-08-11,48,1,2012-09-06,San Francisco,37.70483,-122.39791,2016-01-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100209,Regulator,2014-12-27,10,2,2022-06-10,North Bay,38.20016,-122.46861,2023-03-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100210,Substation Equipment,1989-10-13,35,5,1998-11-08,Sierra,39.02098,-121.22875,2001-05-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100211,Switchgear,1986-10-07,38,1,2004-12-20,Sierra,39.61206,-120.5702,2023-03-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100212,Pole,1999-06-04,26,2,2010-10-11,Peninsula,37.46059,-122.10236,2013-08-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100213,Substation Equipment,1987-01-18,38,1,2017-04-12,Central Valley,37.05581,-120.51722,2022-09-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100214,Gas Valve,1982-07-20,43,4,2007-07-01,Sierra,39.1225,-121.01109,2021-07-08,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100215,Regulator,1994-11-14,30,3,2021-04-11,Sierra,38.93204,-120.40605,2021-12-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100216,Switchgear,1999-11-12,25,4,2022-09-22,South Bay,37.39846,-121.86005,2024-05-14,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100217,Pole,1976-01-20,49,4,2018-01-25,East Bay,37.94708,-122.33274,2022-06-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100218,Switchgear,2014-08-27,10,2,2024-01-06,South Bay,37.26359,-122.217,2024-10-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100219,Switchgear,1981-02-05,44,3,2000-09-07,East Bay,37.83478,-121.98134,2004-11-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100220,Transformer,2003-09-17,21,1,2004-11-23,San Francisco,37.78896,-122.41001,2013-03-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100221,Pole,1980-12-11,44,5,1984-10-21,Central Valley,36.89835,-120.77495,2021-03-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100222,Substation Equipment,2007-07-21,18,2,2008-05-27,North Bay,38.27026,-122.3873,2010-09-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100223,Transformer,2014-12-23,10,1,2017-06-03,Sierra,39.4088,-120.8165,2023-01-26,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100224,Switchgear,1993-03-22,32,2,1996-06-07,South Bay,37.22965,-121.79025,1997-05-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100225,Gas Valve,2014-05-06,11,3,2024-09-02,Sierra,38.50576,-120.495,2024-10-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100226,Gas Valve,2004-03-09,21,5,2025-02-02,Peninsula,37.46086,-122.45924,2025-06-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100227,Pole,2012-05-20,13,5,2017-12-24,East Bay,37.98856,-122.18031,2024-02-26,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100228,Gas Valve,1977-04-06,48,4,1992-01-01,San Francisco,37.79077,-122.37012,2018-12-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100229,Gas Valve,2018-06-13,7,2,2021-09-07,Central Valley,37.92065,-121.1134,2025-04-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100230,Substation Equipment,2008-01-21,17,3,2018-06-28,North Bay,38.68452,-122.35703,2020-04-30,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100231,Feeder,2012-12-04,12,3,2022-01-15,Peninsula,37.59092,-122.12132,2024-03-30,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100232,Substation Equipment,1998-05-13,27,3,2024-07-14,Central Valley,37.38062,-121.30388,2025-07-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100233,Gas Valve,1996-02-15,29,2,2004-04-28,South Bay,37.37823,-122.14333,2006-08-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100234,Regulator,1978-05-27,47,5,2001-06-06,Peninsula,37.42443,-122.35619,2020-07-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100235,Regulator,2012-11-11,12,1,2013-11-22,San Francisco,37.77521,-122.49354,2019-01-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100236,Pole,1993-10-21,31,4,2012-10-24,South Bay,37.03884,-122.01746,2016-04-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100237,Gas Valve,1978-03-16,47,2,1982-07-26,Peninsula,37.40045,-122.43773,1996-06-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100238,Transformer,1975-10-12,49,3,1985-08-05,North Bay,38.69664,-122.50166,1991-01-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100239,Gas Valve,2009-04-14,16,5,2016-04-24,Peninsula,37.41943,-122.1081,2022-11-11,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100240,Pole,1988-06-20,37,4,1995-11-09,Peninsula,37.44244,-122.4947,1999-11-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100241,Transformer,1990-12-05,34,4,1995-07-01,South Bay,37.14073,-122.21727,2011-01-31,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100242,Regulator,1984-11-26,40,3,2003-03-17,North Bay,38.14529,-122.96227,2009-12-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100243,Gas Valve,1975-01-21,50,5,2006-10-04,Sierra,38.70337,-120.57563,2021-03-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100244,Regulator,2012-08-20,12,5,2023-12-18,Peninsula,37.49865,-122.46729,2025-02-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100245,Pole,1975-01-02,50,5,1977-07-16,South Bay,37.05789,-121.72816,1986-03-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100246,Pole,1990-03-02,35,1,1990-12-29,East Bay,37.62573,-122.10249,2000-01-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100247,Feeder,2017-04-05,8,4,2019-10-09,Peninsula,37.44372,-122.15892,2021-03-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100248,Feeder,2016-09-21,8,4,2023-11-15,Peninsula,37.49635,-122.10862,2025-05-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100249,Feeder,1994-02-10,31,1,2015-10-28,South Bay,37.11618,-121.6783,2024-06-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100250,Feeder,1975-07-28,50,4,2017-08-01,Central Valley,36.9324,-120.91177,2022-07-30,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100251,Regulator,2016-08-06,9,2,2018-01-19,North Bay,38.43437,-122.51325,2024-06-08,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100252,Pole,2016-01-04,9,3,2024-09-08,San Francisco,37.78413,-122.51468,2025-04-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100253,Substation Equipment,1991-12-02,33,3,2020-09-18,Central Valley,36.89235,-121.09585,2022-05-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100254,Regulator,2002-11-26,22,5,2009-02-15,Peninsula,37.69365,-122.21515,2016-02-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100255,Regulator,1988-02-17,37,1,1996-01-07,San Francisco,37.81117,-122.47419,2012-03-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100256,Pole,2022-04-06,3,3,2023-01-27,San Francisco,37.78716,-122.51381,2023-04-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100257,Gas Valve,2013-04-13,12,5,2024-02-01,East Bay,37.98965,-122.03508,2024-05-08,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100258,Substation Equipment,2008-12-01,16,1,2018-12-30,East Bay,37.89266,-121.79658,2022-04-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100259,Pole,2011-05-26,14,2,2020-06-14,Central Valley,37.42419,-120.66718,2024-02-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100260,Feeder,1979-10-06,45,2,1981-07-06,Peninsula,37.59773,-122.32643,1983-03-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100261,Transformer,1981-10-06,43,3,1988-05-25,North Bay,38.37131,-122.42174,2006-06-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100262,Transformer,1976-01-05,49,1,1982-05-15,Central Valley,37.90658,-120.66075,2016-09-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100263,Transformer,1979-10-25,45,3,1989-01-10,Central Valley,36.90249,-120.76253,2006-11-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100264,Substation Equipment,2009-11-03,15,4,2012-07-07,Sierra,39.31182,-120.80951,2024-04-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100265,Pole,1988-02-02,37,1,2024-10-14,South Bay,37.27411,-121.65571,2025-03-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100266,Regulator,1980-11-21,44,3,2002-07-26,Sierra,38.79895,-120.5892,2008-08-14,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100267,Pole,1981-11-07,43,3,1996-06-09,North Bay,38.57455,-122.39174,1999-10-25,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100268,Switchgear,1991-01-12,34,3,2003-12-25,San Francisco,37.80305,-122.45197,2023-06-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100269,Regulator,1998-06-25,27,5,2021-05-08,North Bay,38.12373,-122.9136,2022-02-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100270,Substation Equipment,1993-10-24,31,1,2012-08-10,East Bay,37.89281,-122.3084,2016-05-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100271,Switchgear,2008-02-12,17,4,2024-03-11,North Bay,38.21948,-122.38011,2024-06-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100272,Feeder,2011-04-23,14,1,2024-06-19,North Bay,38.05286,-122.73558,2025-02-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100273,Gas Valve,1985-07-01,40,5,1994-11-01,Sierra,39.50529,-120.71328,2023-11-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100274,Substation Equipment,1978-01-12,47,4,1986-11-21,San Francisco,37.72552,-122.37436,1998-03-14,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100275,Regulator,1986-08-19,38,3,2024-03-20,East Bay,37.88557,-122.04366,2025-01-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100276,Gas Valve,2011-03-10,14,2,2016-08-26,Peninsula,37.68268,-122.23721,2021-03-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100277,Pole,1982-11-25,42,1,2005-03-01,East Bay,37.98192,-121.93264,2010-04-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100278,Regulator,2010-02-21,15,3,2018-05-23,Sierra,39.39423,-121.24056,2021-12-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100279,Switchgear,2000-12-03,24,4,2002-04-29,North Bay,38.63213,-122.88486,2010-11-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100280,Pole,1994-05-14,31,5,2017-02-13,San Francisco,37.80614,-122.40082,2019-04-26,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100281,Switchgear,2015-04-15,10,2,2021-07-09,South Bay,37.04151,-121.81471,2025-04-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100282,Substation Equipment,2019-10-21,5,1,2022-01-11,Peninsula,37.64313,-122.49663,2024-10-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100283,Gas Valve,2008-03-28,17,4,2023-05-12,Peninsula,37.43538,-122.2796,2024-07-25,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100284,Regulator,1995-03-15,30,4,2007-01-05,Peninsula,37.51058,-122.23555,2018-03-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100285,Pole,1983-06-15,42,2,2006-07-02,Peninsula,37.48366,-122.40404,2007-10-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100286,Gas Valve,1994-12-27,30,5,2002-03-12,South Bay,37.35689,-122.2391,2005-05-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100287,Pole,1990-12-11,34,5,2014-08-22,Central Valley,37.35438,-120.80077,2019-03-08,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100288,Pole,1990-06-07,35,3,2023-05-24,San Francisco,37.78612,-122.38617,2023-07-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100289,Pole,2017-02-07,8,4,2019-01-26,North Bay,38.68556,-122.85394,2023-08-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100290,Substation Equipment,1994-12-10,30,4,2007-07-01,South Bay,37.44588,-121.62466,2009-09-25,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100291,Transformer,2015-02-09,10,2,2019-09-26,South Bay,37.04164,-121.66183,2024-07-11,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100292,Transformer,1975-07-28,50,4,1995-10-20,East Bay,37.52629,-122.31523,2010-08-14,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100293,Regulator,1993-08-01,32,2,2005-05-24,Peninsula,37.66895,-122.30983,2016-07-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100294,Regulator,2000-01-24,25,2,2019-08-17,Peninsula,37.50351,-122.33853,2025-01-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100295,Feeder,2012-12-21,12,4,2018-05-16,Central Valley,36.85489,-121.09692,2020-09-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100296,Regulator,2016-11-23,8,5,2019-09-25,Central Valley,36.52175,-120.65197,2020-08-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100297,Pole,2016-02-15,9,4,2019-11-28,Central Valley,37.64928,-121.19909,2022-04-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100298,Regulator,2019-02-14,6,2,2023-11-18,San Francisco,37.75214,-122.4733,2025-03-11,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100299,Regulator,2015-03-09,10,4,2020-11-14,Central Valley,36.94114,-121.2848,2021-07-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100300,Transformer,2014-07-17,11,2,2024-11-04,East Bay,37.52181,-121.91874,2025-05-08,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100301,Regulator Station,2007-05-04,18,1,2016-03-02,North Bay,38.48753,-122.94247,2017-10-02,Gas,Transmission,,Steel,None/Unknown,SAW,300.0,N,2.0,2.0,CPZ-445,Adequate,2024-01-28,-871.0,,,0,4.0,6.0
A100302,Gas Transmission Pipeline,2010-02-20,15,4,2012-01-13,South Bay,37.35973,-122.00383,2012-02-18,Gas,Transmission,12.0,Steel,Asphalt Enamel,ERW,60.0,Y,2.0,2.0,CPZ-909,Unknown,2017-09-06,-1142.0,2020-06-10,5.0,1,5.0,7.0
A100303,Anode Bed,1994-06-17,31,4,2004-01-25,San Francisco,37.74118,-122.40335,2006-06-13,Gas,Transmission,,Steel,None/Unknown,SAW,60.0,N,4.0,5.0,CPZ-753,Underprotected,2022-03-20,-967.0,,,3,10.0,10.0
A100304,Service Line/Riser,2002-09-02,22,2,2019-04-11,East Bay,37.69902,-121.8096,2021-08-27,Gas,Distribution,4.0,Wrought Iron,Tape Wrap,,60.0,N,4.0,1.0,CPZ-840,Adequate,2016-07-10,-944.0,,,3,4.0,8.0
A100305,Gas Transmission Pipeline,1979-10-03,45,3,1980-08-28,San Francisco,37.76379,-122.43491,1981-09-22,Gas,Transmission,8.0,Steel,Asphalt Enamel,ERW,1000.0,N,4.0,2.0,CPZ-657,Adequate,1988-09-19,-799.0,1992-02-16,5.0,1,6.0,8.0
A100306,Anode Bed,1956-03-15,69,2,1958-06-01,East Bay,37.86223,-121.91118,1959-03-20,Gas,Transmission,,Steel,Tape Wrap,SAW,500.0,N,1.0,1.0,CPZ-732,Adequate,1989-01-20,-993.0,,,2,6.0,7.0
A100307,Gas Distribution Main,1956-09-13,68,1,2006-01-24,North Bay,38.25325,-122.99456,2008-02-03,Gas,Distribution,36.0,Wrought Iron,FBE,,100.0,N,4.0,1.0,CPZ-868,Adequate,1994-11-06,-809.0,,,0,3.0,6.0
A100308,Pipeline Casing,2008-02-23,17,2,2016-10-26,North Bay,38.06447,-122.80967,2018-10-10,Gas,Transmission,8.0,Steel,FBE,ERW,720.0,N,3.0,2.0,CPZ-771,Underprotected,2015-09-04,-925.0,2022-05-08,2.0,0,3.0,6.0
A100309,CP Rectifier,1976-10-13,48,4,1982-09-05,Peninsula,37.47033,-122.3751,1984-11-02,Gas,Transmission,,Steel,Coal Tar,Unknown,1000.0,Y,4.0,4.0,CPZ-411,Adequate,1980-04-25,-807.0,,,0,9.0,10.0
A100310,CP Rectifier,1998-09-04,26,5,2015-07-22,Peninsula,37.67766,-122.29927,2016-04-07,Gas,Transmission,,Steel,None/Unknown,SAW,60.0,N,2.0,2.0,CPZ-429,Adequate,2001-08-08,-987.0,,,1,6.0,7.0
A100311,Valve Station,1957-04-09,68,5,1978-04-26,North Bay,38.2221,-122.82666,1978-08-21,Gas,Transmission,,Steel,None/Unknown,SAW,60.0,N,2.0,5.0,CPZ-238,Underprotected,2001-09-08,-939.0,,,1,10.0,10.0
A100312,Test Station,1987-12-27,37,5,2010-02-13,Central Valley,37.22455,-120.51444,2011-02-26,Gas,Transmission,,Steel,Asphalt Enamel,Seamless,720.0,N,1.0,5.0,CPZ-723,Unknown,2004-05-22,-660.0,,,2,10.0,10.0
A100313,Gas Distribution Main,2001-08-12,24,4,2016-02-04,Peninsula,37.34825,-122.16946,2017-03-07,Gas,Transmission,8.0,Wrought Iron,Tape Wrap,,60.0,N,2.0,4.0,CPZ-925,Adequate,2021-03-19,-802.0,,,1,10.0,10.0
A100314,Regulator Station,2003-06-03,22,3,2006-06-29,Peninsula,37.43711,-122.37835,2007-04-26,Gas,Transmission,,Steel,None/Unknown,SAW,60.0,N,1.0,5.0,CPZ-497,Adequate,2014-11-10,-725.0,,,1,10.0,10.0
A100315,CP Rectifier,2012-05-27,13,4,2025-05-09,Sierra,39.55055,-120.63645,2027-01-14,Gas,Transmission,,Steel,Tape Wrap,Seamless,1000.0,N,3.0,3.0,CPZ-149,Adequate,2013-11-06,-810.0,,,1,10.0,9.0
A100316,Anode Bed,2016-09-02,8,4,2023-01-28,Central Valley,37.43736,-120.82531,2023-07-21,Gas,Transmission,,Steel,Tape Wrap,SAW,148.0,N,1.0,4.0,CPZ-616,Overprotected,2024-05-31,-977.0,,,3,9.0,10.0
A100317,Launcher/Receiver,1956-06-24,69,4,1977-03-23,San Francisco,37.72331,-122.42841,1979-03-27,Gas,Transmission,,Steel,FBE,SAW,300.0,Y,4.0,3.0,CPZ-535,Adequate,1958-08-23,-758.0,2006-07-11,8.0,0,8.0,8.0
A100318,Gas Transmission Pipeline,1989-09-06,35,5,1998-09-18,South Bay,37.00806,-121.8839,1999-08-24,Gas,Transmission,20.0,Steel,Asphalt Enamel,Seamless,300.0,N,1.0,4.0,CPZ-727,Adequate,2003-03-18,-1019.0,2003-12-01,5.0,0,7.0,7.0
A100319,Test Station,2012-02-02,13,5,2022-02-13,Central Valley,36.72961,-120.80447,2024-05-02,Gas,Distribution,,Steel,Asphalt Enamel,SAW,60.0,N,2.0,2.0,CPZ-347,Unknown,2018-07-27,-783.0,,,0,4.0,7.0
A100320,Test Station,1956-07-21,69,3,2005-12-12,North Bay,38.38807,-122.84994,2006-02-10,Gas,Transmission,,Steel,FBE,Seamless,1000.0,N,4.0,3.0,CPZ-290,Adequate,1982-11-25,-940.0,,,2,6.0,8.0
A100321,CP Rectifier,2020-01-24,5,3,2024-10-18,Central Valley,36.95715,-121.10181,2025-04-22,Gas,Transmission,,Steel,Asphalt Enamel,Seamless,500.0,Y,4.0,4.0,CPZ-673,Adequate,2021-06-29,-774.0,,,1,8.0,10.0
A100322,Gas Transmission Pipeline,1991-03-16,34,1,1997-03-08,Sierra,39.21181,-120.40079,1997-08-09,Gas,Transmission,20.0,Steel,Tape Wrap,ERW,500.0,N,3.0,3.0,CPZ-318,Adequate,1994-04-27,-931.0,2001-06-03,5.0,3,6.0,10.0
A100323,Gas Distribution Main,1965-11-07,59,4,1982-04-23,Sierra,38.78903,-120.85351,1983-07-25,Gas,Distribution,6.0,Wrought Iron,Coal Tar,,30.0,Y,1.0,3.0,CPZ-133,Adequate,1986-07-03,-691.0,,,1,9.0,10.0
A100324,Valve Station,1962-01-05,63,1,2003-09-24,East Bay,37.55295,-122.29528,2005-10-05,Gas,Distribution,,Steel,FBE,Seamless,30.0,N,2.0,2.0,CPZ-340,Underprotected,1993-08-23,-784.0,,,2,6.0,10.0
A100325,Gas Distribution Main,1992-06-22,33,4,2008-04-20,South Bay,37.42325,-121.91272,2010-08-03,Gas,Transmission,8.0,Steel,FBE,ERW,60.0,N,3.0,2.0,CPZ-228,Adequate,1993-07-05,-933.0,,,3,6.0,7.0
A100326,Service Line/Riser,2008-09-12,16,3,2023-01-25,Peninsula,37.42672,-122.35829,2023-07-07,Gas,Distribution,16.0,Steel,None/Unknown,SAW,100.0,N,1.0,3.0,CPZ-618,Underprotected,2024-03-13,-862.0,,,0,8.0,9.0
